net,length_um
irq_mask\[10\],273.94
_07778_,273.76
_13169_,273.69
genblk1.pcpi_mul.rs1\[28\],273.475
_13367_,273.21
_09737_,272.9
_02361_,272.6
_13321_,272.6
_05352_,272.56
_11413_,272.42
genblk1.pcpi_mul.rs2\[15\],272.1
_12698_,272.04
_09051_,272.02
_13503_,271.85
_09738_,271.705
_01682_,271.52
_11294_,271.375
_03646_,270.78
_13558_,270.68
genblk1.pcpi_mul.rs2\[30\],270.65
_12433_,270.62
_11343_,270.45
_11305_,270.355
_09359_,270.01
irq_pending\[31\],269.84
_03376_,269.32
net233,269.26
_14713_,269.08
_13212_,269.01
_06832_,268.98
_13746_,268.98
clknet_5_11__leaf_clk,268.8
_12582_,268.1
_05320_,268.08
_13107_,268.08
net201,268.05
_11265_,268.02
_14525_,268.02
_09085_,267.875
_09742_,267.79
_10815_,267.66
_03765_,267.1
_14221_,267.06
_09853_,266.96
net1319,266.93
is_sb_sh_sw,266.82
_11359_,266.55
_11564_,266.36
_01777_,266.3
net392,266.28
_09621_,266.06
_09174_,265.86
_09348_,265.6
_07221_,265.54
_14089_,265.28
_11690_,265.01
_01817_,264.98
net199,264.94
_14162_,264.78
_11452_,264.735
_14222_,264.675
net220,264.04
mem_rdata_q\[19\],263.795
_11764_,263.45
_14451_,263.3
_09269_,263.175
_11277_,263.08
_11429_,262.93
_03764_,262.48
_12535_,262.48
_05286_,262.28
_05500_,262.24
_09630_,262.14
genblk1.pcpi_mul.rs2\[32\],261.89
_11430_,261.77
_13487_,261.52
_11300_,261.38
_08676_,261
_11619_,260.895
_09639_,260.88
_10889_,260.48
reg_pc\[28\],259.915
_11509_,259.84
_14003_,259.8
reg_next_pc\[17\],259.73
_10442_,259.34
_07774_,259.255
_09762_,259.16
_11446_,258.96
_05421_,258.92
_11043_,258.34
_13650_,258.3
_13257_,258.25
_08865_,258.22
_00585_,257.905
_10447_,257.85
net324,257.76
_13185_,257.645
_02815_,257.44
_09739_,257.32
_14705_,257.04
_10213_,256.96
_11859_,256.96
_13171_,256.94
_11438_,256.91
_10370_,256.84
decoder_trigger,256.44
_14877_,256.22
_09050_,255.87
_09074_,255.74
_10854_,255.705
_11412_,254.9
genblk1.pcpi_mul.rs2\[28\],254.88
_08742_,254.79
_00005_,254.785
_12775_,254.77
clknet_5_6__leaf_clk,254.335
_13463_,254.15
_05580_,254
_14178_,253.915
_02717_,253.58
_11458_,253.56
_11038_,253.26
_11785_,252.36
_05659_,252.32
_08582_,252.22
_08913_,251.87
_13485_,251.835
_13465_,251.75
genblk1.pcpi_mul.rs1\[23\],251.73
reg_next_pc\[13\],251.695
net72,251.64
_11982_,251.28
_10516_,251.21
reg_next_pc\[20\],251.185
_10794_,251.09
_09806_,250.96
_05018_,250.95
_10801_,250.69
_11310_,250.555
irq_mask\[19\],250.46
_09644_,250.375
_02644_,250.28
_11699_,250.23
_08849_,250.115
net9,249.84
_13855_,249.595
_09829_,249.4
_11356_,249.21
_03428_,249.08
_13490_,249.07
_12304_,249.01
net357,248.99
_11694_,248.88
_06691_,248.655
_13475_,248.3
_11646_,248.2
_13183_,248.035
_13989_,247.815
_09088_,247.635
_13044_,247.45
reg_next_pc\[11\],247.43
_13096_,247.36
genblk1.pcpi_mul.rs1\[18\],247.13
_09620_,247.02
_11685_,246.79
_11325_,246.495
_02500_,246.19
_13888_,245.535
_11267_,245.505
_12867_,245.5
net1340,245.44
_11441_,245.26
_09059_,245.24
genblk1.pcpi_mul.rs1\[16\],245.09
_05527_,244.82
_08959_,244.54
_13635_,244.44
net251,244.38
_13879_,244.32
_12652_,244.23
_13194_,244.225
_08630_,243.94
_12976_,243.87
_14470_,243.75
genblk1.pcpi_mul.rs2\[27\],243.52
_05517_,243.5
_12472_,242.73
_13430_,242.47
_13804_,242.29
_09824_,241.61
_12045_,241.6
_10894_,241.56
mem_rdata_q\[18\],241.46
_05106_,241.33
_06469_,241.23
_14006_,241.19
_09026_,241.14
reg_next_pc\[8\],241.105
net328,240.42
clknet_5_1__leaf_clk,240.1
_09032_,239.9
_10853_,239.705
clknet_5_9__leaf_clk,239.69
_10604_,239.54
_03792_,239.49
_01700_,239.42
_08698_,239.42
_01983_,239.41
_12469_,239.32
_09082_,239.16
_10399_,239.14
_11460_,239.03
_00069_,239.025
_11576_,238.65
_09864_,238.63
_13945_,238.42
net79,238.3
_11354_,238.16
_09640_,238.095
_10519_,238.06
_02538_,237.93
_13551_,237.82
_08891_,237.54
_09626_,237.52
_13461_,237.46
_08734_,237.44
reg_next_pc\[14\],237.28
_13800_,237.275
_09464_,236.9
_11407_,236.9
net396,236.72
_09622_,236.425
_08830_,236.4
_05309_,236.12
_12592_,236.085
_10091_,235.82
_11276_,235.66
_14049_,235.66
_14965_,235.66
reg_next_pc\[15\],235.63
reg_next_pc\[9\],235.585
net227,235.46
_05536_,235.36
_10413_,235.3
reg_next_pc\[28\],235.17
_13342_,234.98
_06327_,234.8
_13175_,234.63
is_lb_lh_lw_lbu_lhu,234.61
decoded_imm_uj\[4\],234.47
net193,234.42
_09650_,234.34
_09729_,234.32
_13653_,234.28
_08177_,234.1
_13385_,234.08
genblk1.pcpi_mul.rs2\[18\],234
net231,234
_09280_,233.94
_13186_,233.84
_11117_,233.62
_09159_,233.6
_10651_,233.58
_12041_,233.22
_11398_,233.05
_09627_,232.92
genblk1.pcpi_mul.rd\[21\],232.86
_08870_,232.84
_02593_,232.62
reg_next_pc\[23\],232.62
_09702_,232.47
net264,232.36
_03519_,232.24
_13339_,231.96
_11567_,231.73
_10785_,231.7
_11698_,231.7
_11864_,231.5
_11299_,231.36
_14053_,230.96
_12047_,230.935
_09837_,230.35
_13552_,230.115
_05689_,229.94
_05333_,229.62
clknet_5_13__leaf_clk,229.61
_09166_,229.54
_03517_,229.37
_14165_,229.27
_05181_,229.25
_09838_,229.17
decoded_rd\[0\],229.1
_06620_,228.92
_09643_,228.86
_10834_,228.435
_10174_,228.4
_01514_,228.37
_13061_,228.36
_12560_,228.19
reg_next_pc\[10\],228.185
_11760_,228.08
_06833_,228.04
_09249_,227.72
reg_next_pc\[5\],227.69
_08788_,227.595
mem_rdata_q\[17\],227.21
_06604_,227.12
_13479_,227.1
_09602_,226.96
irq_pending\[22\],226.96
_08813_,226.9
_09847_,226.845
_09846_,226.75
irq_mask\[28\],226.61
irq_pending\[26\],226.39
_06315_,226.31
_10292_,226.3
_10402_,226.3
_02451_,225.88
_08912_,225.645
reg_next_pc\[12\],225.59
_09253_,225.54
_06831_,225.5
reg_next_pc\[7\],225.435
clknet_5_5__leaf_clk,225.4
decoded_rd\[2\],225.36
_00584_,225.315
_03377_,224.82
genblk1.pcpi_mul.rs2\[20\],224.68
_10324_,224.66
_12406_,224.62
_14998_,224.51
_11790_,224.48
_12975_,224.48
_13459_,224.48
_13351_,224.455
_11493_,224
_12556_,223.9
_13498_,223.805
_06619_,223.79
_05531_,223.52
_03469_,223.31
_12696_,223.125
_09010_,223
irq_pending\[21\],222.955
_12306_,222.91
irq_mask\[22\],222.79
_10053_,222.68
_01877_,222.64
_05823_,222.6
_11494_,222.525
_06633_,222.42
_06221_,222.245
_09843_,222.235
_13659_,222.21
_09713_,222.1
_09086_,221.96
_08906_,221.89
reg_next_pc\[29\],221.815
_14536_,221.76
_10135_,221.74
reg_out\[5\],221.58
_08951_,221.56
_09168_,221.5
_10602_,221.28
_05974_,221.14
_07327_,221.13
_07252_,221.08
_09960_,220.94
_08504_,220.74
_05572_,220.72
_02866_,220.64
_14683_,220.64
_08642_,220.58
_11843_,220.565
clknet_5_31__leaf_clk,220.24
_06763_,220.16
irq_pending\[19\],220.16
_03723_,220.13
_10618_,220.13
_09839_,220.12
_11788_,220.04
_05752_,220.02
reg_pc\[31\],219.815
_13200_,219.795
_03055_,219.62
_05295_,219.62
_08125_,219.555
_11037_,219.24
_09911_,218.93
_09049_,218.74
_02372_,218.64
_10542_,218.53
_08450_,218.3
reg_next_pc\[18\],218.21
_09199_,218.12
_14733_,218.055
_12707_,218.03
_03251_,218
_03400_,217.95
_10958_,217.875
_01637_,217.7
_13735_,217.68
_08095_,217.36
_08536_,217.34
_06629_,217.32
_09217_,217.265
genblk1.pcpi_mul.rd\[13\],217.25
decoded_imm_uj\[16\],217.07
_11682_,217.02
_14235_,216.84
_13041_,216.82
_06260_,216.7
alu_out_q\[3\],216.68
_12208_,216.43
_08986_,216.015
_14540_,215.96
genblk1.pcpi_mul.rd\[18\],215.91
_08596_,215.84
_09645_,215.835
_12904_,215.825
_05731_,215.82
_05361_,215.76
_10664_,215.68
_14161_,215.64
_02044_,215.58
_11039_,215.58
_11408_,215.36
_02580_,215.13
_13422_,215.12
_11686_,215.11
_02855_,214.6
_09081_,214.56
clknet_5_15__leaf_clk,214.36
_12578_,214.32
genblk1.pcpi_mul.rs2\[24\],214.13
_13480_,214.04
_11040_,213.54
_06771_,213.415
_05703_,213.18
net91,213.18
_08998_,212.995
net242,212.8
_11816_,212.6
_09768_,212.47
_00583_,212.425
_09345_,212.42
_02615_,212.34
_04582_,212.32
_02579_,212.28
_13238_,212.025
_12250_,211.945
_06185_,211.86
